T_min,Q_m3s
0,0
3.019067797,0.005858299
5.879237288,0.015942521
9.05720339,0.03285448
11.91737288,0.050741043
14.93644068,0.080331462
18.11440678,0.105695957
20.81567797,0.139511954
23.83474576,0.170402763
27.01271186,0.217223695
30.11122881,0.240312335
33.05084746,0.240318706
37.18220339,0.240002562
43.06144068,0.240177853
47.19279661,0.240511905
50.21186441,0.240680997
55.85275424,0.240530674
58.63347458,0.2405367
61.81144068,0.240543588
64.67161017,0.240549787
67.69067797,0.24055633
71.58368644,0.240564767
74.76165254,0.240571655
77.38347458,0.240739886
81.11758475,0.24058543
83.73940678,0.240753661
86.91737288,0.240760549
92.95550847,0.202249578
95.81567797,0.169746024
98.83474576,0.142119278
101.5360169,0.118067915
104.7139831,0.099056597
107.5741525,0.08280792
110.5932203,0.068510172
113.4533898,0.05681286
116.3135593,0.048041425
119.6504237,0.039596121
122.3516949,0.03375022
125.3707627,0.028880301
128.7076271,0.02531146
131.5677966,0.021416489
134.4279661,0.017846615
137.9237288,0.015578508
140.7838983,0.014284317
143.9618644,0.012990815
146.9809322,0.011046773
150,0.010403121
152.7012712,0.009108585
156.0381356,0.008140525
158.9777542,0.007334152
161.7584746,0.006852532
164.8569915,0.006859248
167.7966102,0.005727778
170.7362288,0.005409051
173.9936441,0.004928465
176.9332627,0.004772287
