index	down	type	reservoir	BC	zbed	zbank	Length	BedSlope	avgRough	index	depth	bankslope	BottomWidth	Sinuosity	Rough	Cwr	KsatH	
1	2	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
2	3	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
3	4	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
4	5	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
5	6	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
6	7	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
7	8	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
8	9	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
9	10	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
10	11	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
11	12	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
12	13	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
13	14	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
14	15	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
15	16	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
16	17	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
17	18	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
18	19	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
19	20	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
20	-3	1	-9999	0	-9999	-9999	50	0.02	0.0025	0	2	0	20	1	0.0025	0.6	0	
